Corus 	Mesos 	Sicusia 	Coresia 	Higolis
Ampizi 	Menea 	Sicaea 	Dide 	Akrotos
Kamna 	Megea 	Rharsus 	Tantida 	Peta
Pantium 	Oriena 	Knoeze 	Akrine 	Sychra
Phali 	Iocae 	Laigea 	Kasia 	Mendrus
Akyri 	Desos 	Petrou 	Eleos 	Delai
Chrysos 	Atretra 	Saletri 	Antidon 	Kera
Kinas 	Pelos 	Orchia 	Psene 	Alissa
Mankos 	Epixos 	Orgenea 	Therme 	Masis
Prina 	Amios 	Helexan 	Nymarna 	Piaea
Didae 	Myntium 	Pissa 	Akion 	Lios
Nicolis 	Kaspe 	Bouria 	Hebea 	Plai
Knica 	Apidus 	Aythryn 	Orea 	Cracida
Megi 	Ceapon 	Arsos 	Sthalis 	Amphile
Mone 	Hyme 	Tegame 	Diopori 	Saea
Cythia 	Lexánda 	Epro 	Messa 	Olisos
Gele 	Phidus 	Nysos 	Phastus 	Helos
Akrae 	Arotos 	Kamidos 	Olones 	Pera
Thyros 	Lavlos 	Epropos 	Pyllos 	Peirus
Oezu 	Bous 	Hēmera 	Orena 	Coria
Pteon 	Sybla 	Lale 	Curos 	Deragra
Tonia 	Thelis 	Gytidon 	Laten 	Anesmea
Dimmera 	Erkinia 	Thessae 	Imasuf 	Pydos
Mythus 	Pacia 	Rhara 	Pantius 	Taucros
Pagne 	Gorus 	Phia 	Olinus 	Parnias
Hilaike 	Chius 	Epoli 	Pavlos 	Sporus
Sidres 	Mekinus 	Andrea 	Apene 	Scus
Orilli 	Decea 	Smyros 	Akras 	Hergyro
Amidaea 	Rhenes 	Cebene 	Phallos 	Alcus
Chacum 	Vatra 	Myntos 	Phyrea 	Sicea
Pacae 	Barsus 	Bylleum 	Peia 	Tymera
Tres 	Pidorus 	Nithros 	Rherasa 	Metus
Kale 	Phalia 	Tapolis 	Latagra 	Myrae
Tymnos 	Tangri 	Rhassuf 	Brea 	Sition
Sicus 	Tenia 	Vathron 	Hebene 	Ptenea
Thermos 	Apolini 	Pezena 	Gyrasus 	Ateion
Amna 	Ellis 	Mosklea 	Rhita 	Ankous
Maea 	Paea 	Amphon 	Vasa 	Rikada
Thuria 	Deli 	Myrgos 	Itae 	Rhodon
Cnion 	Marna 	Delis 	Kamais 	Dicus
Hersuf 	Epidus 	Kalcia 	Tactus 	Sponia
Cebenai 	Iman 	Gyrinos 	Konnia 	Ampse
Acae 	Speia 	Sklatos 	Phlos 	Thereum
Itara 	Tyrme 	Thratos 	Sparnae 	Mylopus
Psyra 	Amangra 	Para 	Patas 	Dymeia
Amene 	Juktan 	Nedon 	Bytos 	Kyntis
Henoe 	Apermos 	Cedos 	Samna 	Epros 
